
############## annie - 02/07/21 15:25:46 EST -0500 ##############

2021-02-07 15:25:47 PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
2021-02-07 18:54:57 64 bytes from 8.8.8.8: icmp_seq=210 ttl=117 time=37.3 ms
2021-02-07 18:55:57 64 bytes from 8.8.8.8: icmp_seq=211 ttl=117 time=29.6 ms
2021-02-07 18:56:57 64 bytes from 8.8.8.8: icmp_seq=212 ttl=117 time=37.6 ms
2021-02-07 18:57:57 64 bytes from 8.8.8.8: icmp_seq=213 ttl=117 time=25.1 ms
2021-02-07 18:58:57 64 bytes from 8.8.8.8: icmp_seq=214 ttl=117 time=47.8 ms
2021-02-07 18:59:57 64 bytes from 8.8.8.8: icmp_seq=215 ttl=117 time=29.8 ms
2021-02-07 19:00:57 64 bytes from 8.8.8.8: icmp_seq=216 ttl=117 time=33.5 ms
2021-02-07 19:01:57 64 bytes from 8.8.8.8: icmp_seq=217 ttl=117 time=35.9 ms
2021-02-07 19:02:57 64 bytes from 8.8.8.8: icmp_seq=218 ttl=117 time=31.2 ms
2021-02-07 19:03:58 64 bytes from 8.8.8.8: icmp_seq=219 ttl=117 time=27.9 ms
2021-02-07 19:04:58 64 bytes from 8.8.8.8: icmp_seq=220 ttl=117 time=25.7 ms
2021-02-07 19:05:58 64 bytes from 8.8.8.8: icmp_seq=221 ttl=117 time=52.2 ms
2021-02-07 19:06:58 64 bytes from 8.8.8.8: icmp_seq=222 ttl=117 time=34.4 ms
2021-02-07 19:07:58 64 bytes from 8.8.8.8: icmp_seq=223 ttl=117 time=31.2 ms
2021-02-07 19:08:58 64 bytes from 8.8.8.8: icmp_seq=224 ttl=117 time=27.7 ms
2021-02-07 19:09:58 64 bytes from 8.8.8.8: icmp_seq=225 ttl=117 time=27.0 ms
2021-02-07 19:10:58 64 bytes from 8.8.8.8: icmp_seq=226 ttl=117 time=35.2 ms
2021-02-07 19:11:58 64 bytes from 8.8.8.8: icmp_seq=227 ttl=117 time=39.6 ms
2021-02-07 19:12:58 64 bytes from 8.8.8.8: icmp_seq=228 ttl=117 time=37.9 ms
2021-02-07 19:13:58 64 bytes from 8.8.8.8: icmp_seq=229 ttl=117 time=51.7 ms
2021-02-07 19:14:58 64 bytes from 8.8.8.8: icmp_seq=230 ttl=117 time=30.6 ms
2021-02-07 19:15:58 64 bytes from 8.8.8.8: icmp_seq=231 ttl=117 time=40.5 ms
2021-02-07 19:16:58 64 bytes from 8.8.8.8: icmp_seq=232 ttl=117 time=28.9 ms
2021-02-07 19:17:58 64 bytes from 8.8.8.8: icmp_seq=233 ttl=117 time=28.9 ms
2021-02-07 19:18:58 64 bytes from 8.8.8.8: icmp_seq=234 ttl=117 time=28.3 ms
2021-02-07 19:19:58 64 bytes from 8.8.8.8: icmp_seq=235 ttl=117 time=39.6 ms
2021-02-07 19:20:58 64 bytes from 8.8.8.8: icmp_seq=236 ttl=117 time=39.8 ms
2021-02-07 19:21:58 64 bytes from 8.8.8.8: icmp_seq=237 ttl=117 time=41.2 ms
2021-02-07 19:22:58 64 bytes from 8.8.8.8: icmp_seq=238 ttl=117 time=35.4 ms
2021-02-07 19:23:58 64 bytes from 8.8.8.8: icmp_seq=239 ttl=117 time=29.9 ms
2021-02-07 19:24:59 64 bytes from 8.8.8.8: icmp_seq=240 ttl=117 time=28.6 ms
2021-02-07 19:25:59 64 bytes from 8.8.8.8: icmp_seq=241 ttl=117 time=48.4 ms
2021-02-07 19:26:59 64 bytes from 8.8.8.8: icmp_seq=242 ttl=117 time=36.0 ms
2021-02-07 19:27:59 64 bytes from 8.8.8.8: icmp_seq=243 ttl=117 time=43.3 ms
2021-02-07 19:28:59 64 bytes from 8.8.8.8: icmp_seq=244 ttl=117 time=30.1 ms
